,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage
20,EWar,2019,Bangalore,Gaming,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",0,Pre-series A
21,SucSEED Indovation,2016,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,,50000000,Seed
22,TaxBuddy.com,2019,Mumbai,FinTech,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,10000000,Seed
23,Awign Enterprises,2016,Bangalore,Work fulfillment,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",5000000,Seed
24,Circle of Angels,2018,Gurgaon,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,,30000000,Seed
25,CoinDCX,2017,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",100000000,Series B
26,Glance,2016,Bangalore,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,1450000000,Seed
27,VerSe Innovation,2007,Bangalore,Telecommunication,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,1000000000,Seed
28,Voosh,2020,Bangalore,Food Industry,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,0,Pre-seed
29,Delhivery,2011,Gurgaon,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",0,Seed
30,Arya,1982,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,210000000,Series B
31,Pickrr,2015,New Delhi,Logistics,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,40000000,Seed
32,PhonePe,2015,Andheri,FinTech,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",200000000,Seed
33,Countingwell,2018,Bangalore,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",10000000,Pre-series A
34,Callify.ai,2016,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,5600000,Seed
35,Hudle,2016,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,0,Pre-series A
36,Cover it Up,2013,Chennai,E-commerce,Online portal that churns out high quality products,Ronak Sarda,Angel investors,4000000,Seed
37,BiteSpeed,2019,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,2750000,Seed
38,WakeFit,2016,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,200000000,Series B
39,Sreyas Holistic Remedies,2008,Hyderabad,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,10000000,Seed
40,Fleeca India,2016,Jaipur,Tyre management,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,0,Seed
41,M1xchange,2017,Gurgaon,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",45000000,Seed
42,Exotel,2011,Bangalore,Cloud company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",50000000,Seed
43,PagarBook,2019,Bangalore,Software company,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",150000000,Series A
44,PointOne Capital,2020,Bangalore,Venture capitalist,Pre-seed/Seed focussed VC investor,Mihir Jha,,0,Seed
45,Ayana,2017,Bangalore,Renewable player,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",3900000000,Seed
46,Fisdom,2015,Bangalore,FinTech,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",70000000,Seed
47,Tinker Coders,2020,Noida,EdTech,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,0,Seed
48,Infinite Uptime,2015,Pune,IoT startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",51000000,Series B
49,HappyLocate,2016,Bangalore,SaaS startup,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,5000000,Pre-series A
50,PhonePe,2015,New Delhi,FinTech,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,7000000000,Seed
51,Loop Health,2017,Pune,HealthTech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",23000000,Seed
52,NeoDocs,2020,Mumbai,HealthTech,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,0,Pre-seed
53,The ePlane,2016,Chennai,Aero company,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,0,Seed
54,TagMango,2019,Mumbai,Marketing company,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",7000000,Seed
55,The New Shop,2019,New Delhi,Retail startup,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,5000000,Seed
56,MobiKwik,2009,Gurgaon,FinTech,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",70000000,Seed
57,DebugsBunny,2020,Pune,EdTech,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,1000000,Seed
58,BHIVE Investech,2014,Bangalore,Co-working Startup,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,10000000,Seed
59,Rivigo,2014,Gurgaon,Logistics,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",190000000,Seed
60,ZipLoan,2015,New Delhi,Finance company,ZipLoan is a online lending platform,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",30000000,Seed
61,Swipez,2014,Pune,FinTech,Swipez is a payment collection platform.,Vivek Iyer,"9Unicorns, Anicut",0,Seed
62,Humus,2019,Bangalore,AgriTech,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",0,Seed
63,Artivatic.ai,2017,Bangalore,Tech company,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"SenseAI Ventures, Saurabh Chugh",0,Seed
64,Prescinto,2016,Ahmedabad,Solar Monitoring Company,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",0,Seed
65,Toppeq,2019,Mumbai,SaaS startup,SaaS-based equity management platform,Nandini Sankar,,0,Seed
66,Bolo Indya,2019,Gurgaon,Video sharing platform,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",4000000,Seed
67,Bombay Play,2017,Bangalore,Gaming startup,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",10000000,Seed
68,FreshToHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,Investment Corporation of Dubai (ICD),0,Seed
69,KIKO TV,2020,Mumbai,Video streaming platform,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",0,Seed
70,Atomberg Technologies,2012,Mumbai,Consumer appliances,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",90000000,Series B
71,DealShare,2018,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",210000000,Series C
72,Smallcase,2015,Bangalore,FinTech,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",0,Seed
73,CueMath,2011,Bangalore,EdTech,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",400000000,Series C
74,Gamerji,2018,Ahmedabad,Gaming startup,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,0,Seed
75,5C Network,2014,Bangalore,HealthTech,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",12000000,Pre-series A
76,Ethereum Push Notification Service,2020,Mumbai,Blockchain startup,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,7500000,Seed
77,Mihup,2016,Kolkata,Conversational AI platform,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",15000000,Series A
78,RuralBasket,2019,"Tirunelveli, Tamilnadu",E-commerce,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,5000000,Seed
79,WayCool Foods,2015,Chennai,AgriTech,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",78000000,Debt
80,Infra.Market,2016,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",200000000,Series B
81,Info Edge Venture,1995,Noida,Venture capitalist,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani,Lightbox,500000000,Seed
82,Clovia,2013,Noida,E-commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",40000000,Pre-series C
83,Codingal,2020,Bangalore,EdTech,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",5600000,Seed
84,CRED,2018,Bangalore,Finance company,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",800000000,Series C
85,Vistaar Finance,2010,Bangalore,Finance company,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala",FMO,300000000,Seed
86,Let's Dive,2020,Bangalore,SaaS platform,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,17000000,Seed
87,Habitat,2016,,EdTech,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",6000000,Seed
88,SAWO Labs,2020,Mumbai,SaaS platform,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",6000000,Seed
89,Signzy,2015,Bangalore,AI platform,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",30000000,Seed
90,KopyKitab,2013,Bangalore,EdTech,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",0,Seed
91,Kyt,2020,Singapore,EdTech,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,25000000,Seed
92,Raskik,2019,,Fusion beverages,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",10000000,Pre-series A
93,GetWork,2019,Gurugram,HR Tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,400000,Pre-seed
94,Mobile Premier League (MPL),2018,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000,Series B
95,Pravasirojgar,2020,,Job portal,Initiative for blue-collar job workers,Sonu Sood,GoodWorker.,330000000,Seed
96,Omatra Hotels,2017,Kolkata,Hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,0,Seed
97,Awign,2016,Bangalore,Job portal,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",0,Pre-series B
98,NewsReach,2018,Gujarat,Digital Media,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",15000000,Seed
99,Cashfree,2015,Bangalore,FinTech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",350000000,Series B
100,Credgenics,2018,New Delhi,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",30000000,Pre-series A
101,GeoIQ,2018,Bangalore,AI startup,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",3000000,Seed
102,Country Delight,2015,Haryana,Dairy startup,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",250000000,Series C
103,Quintype,2014,Bangalore,Content management,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,35000000,Series A
104,CARS24,2015,Haryana,Retail,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",2000000000,Series E
105,Astrogate Labs,2017,Bangalore,Spacetech,Astrogate Labs provides high-quality products related to space infrastructure.,,"Venture Catalysts, Speciale Invest",0,Seed
106,Power Gummies,2018,New Delhi,HealthTech,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,0,Bridge
107,Cityflo,2015,Mumbai,Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",70000000,Series A
108,AlgoBulls,2019,Mumbai,Trading platform,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,2000000,Seed
109,Credgenics,2018,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",30000000,Pre-series A
110,Inntot,2014,Kerala,Tech company,"Inntot Technologies, is a technology driven company.",Rajith Nair,Unicorn India Ventures,0,Seed
111,Ensuredit,2019,Gurugram,FinTech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,3000000,Pre-series A
112,Shipsy,2015,Gurugram,AI Company,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",60000000,Series A
113,ERPNext,2008,Mumbai,Tech company,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rushabh Mehta,Rainmatter,10000000,Seed
114,LightSpeedAI,2019,Bangalore,Photonics startup,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, PV Ramana","YourNest, growX ventures",0,Seed
115,Grip Invest,2020,Gurugram,FinTech,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,0,Pre-series A
116,Unacademy,2015,Bangalore,EdTech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",0,Seed
117,Yellow Classes,2020,Gurugram,EdTech,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,13000000,Pre-series A
118,Plum,2019,Bangalore,HealthTech,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",41000000,Seed
119,STAGE,2019,Indore,Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,10000000,Seed
120,Nykaa,2012,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",0,Seed
121,Kaagaz Scanner,2020,,Scanning app,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,5750000,Seed
122,NIRA,2017,Bangalore,FinTech,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",10000000,Seed
123,Prolixr,2018,Gurugram,Skincare startup,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",0,Seed
124,Byju's,2011,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",2000000000,Seed
125,DaMENSCH,2018,Bangalore,E-commerce,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",60000000,Seed
126,Country Delight,2015,Haryana,Food and Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",250000000,Series C
127,SignalX,2018,Hyderabad,AI startup,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",8000000,Seed
128,Lancify,2018,Bangalore,EdTech,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",3000000,Seed
129,Krimanshi,2015,Jodhpur,Biotechnology company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",6000000,Seed
130,Instoried,2018,Bangalore,AI startup,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",10000000,Pre-series A
131,PlayerzPot,2015,Mumbai,Gaming startup,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",,30000000,Series A
132,Instamojo,2012,Bangalore,FinTech,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",0,Seed
133,Turtlemint,2015,Mumbai,HealthTech,Turtlemint has built Indian personalized insurance platform,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",300000000,Seed
134,Arata,2017,New Delhi,E-commerce,Arata is an e-commerce site for beauty products and cosmetics.,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,10000000,Pre-series A
135,MPL,2018,Bangalore,Gaming startup,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",50000000,Seed
136,True Balance,2014,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",280000000,Seed
137,Thrive,2020,Mumbai,FoodTech,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.","Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital",0,Pre-series A
138,Kitchens Centre,2019,New Delhi,Proptech,Kitchens Centre offers turnkey solutions to cloud kitchens.,Lakshay Jain,"Jonathan Swanson, Ankush Gera",0,Pre-series A
139,Prescribe,2019,Chennai,HealthTech,Provide online services to patients by leveraging WhatsApp.,Nived Narayanan,Titan Capital,1000000,Seed
140,Nepra,2006,Ahmedabad,CleanTech,NEPRA Resource Management provides waste management solutions in India.,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",180000000,Series C
141,inFeedo,2013,Gurugram,SaaS startup,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",Tanmaya Jain,"Peyush Bansal, Ritesh Malik",32000000,Seed
142,Shilpa Sciences,2014,Bangalore,HealthTech,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,Ashwin Lal,AngelList India,0,Pre-series A
143,Arzooo,2016,Bangalore,Tech Startup,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",0,Seed
144,MindTickle,2011,Pune,SaaS platform,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",1000000000,Debt
